token,surprisal
on,10.133447647094727
 Plan,10.765592575073242
 For,6.927323341369629
 Year,11.5569486618042
 Five,7.702933311462402
 Ge,16.344379425048828
ography,4.560720443725586
 On,10.08317756652832
 The,4.044323921203613
 Balkans,16.27486228942871
.,5.218766212463379
doc,13.277009963989258
x,1.1711785793304443
"
",1.5159850120544434
[,13.83529281616211
ES,13.329594612121582
SAY,11.007772445678711
],2.1813066005706787
Analy,18.530750274658203
se,6.051853179931641
 two,13.509331703186035
 types,8.212090492248535
 of,0.022614378482103348
 learning,13.85778522491455
 and,5.432814121246338
 teaching,8.151493072509766
 approaches,9.316755294799805
 you,10.220329284667969
 could,5.492133617401123
 use,1.1744530200958252
 to,0.9295263886451721
 teach,4.914577484130859
 your,2.931706190109253
 chosen,12.843091011047363
 subject,2.945448160171509
 across,8.649928092956543
 the,2.6984028816223145
 3,8.739171028137207
-,2.7945494651794434
16,8.475263595581055
 age,7.925645351409912
 range,0.7846604585647583
.,0.9423648118972778
 (,7.5899505615234375
250,13.091777801513672
 words,3.56221079826355
).,6.289967060089111
[/,13.775132179260254
ES,0.1409105807542801
SAY,0.0004971154849044979
],0.033396244049072266
"
",1.9991600513458252
AN,13.701143264770508
AL,2.533494710922241
YS,0.18216350674629211
IS,0.008705229498445988
 OF,3.603278160095215
 TWO,8.033214569091797
 D,6.220927715301514
IF,1.7165888547897339
FER,0.004028034396469593
ENT,0.20373229682445526
 LE,7.071016788482666
AR,3.4861528873443604
NING,0.5943422317504883
 AP,8.247543334960938
PRO,2.38059663772583
ACH,0.031146036460995674
ES,0.2761956453323364
 TO,3.679767608642578
 TE,5.985875606536865
ACH,0.01707325130701065
 A,4.616961479187012
 SUB,6.4834794998168945
JECT,1.1849535703659058
 AC,11.418731689453125
R,1.9153828620910645
OSS,0.039541952311992645
 THE,0.9246832728385925
 A,6.961278915405273
GE,1.2206628322601318
 R,4.5857954025268555
ANGE,0.9437679648399353
.,2.209249496459961
doc,7.334649085998535
x,0.08386750519275665
"
",0.3069166839122772
[,0.19484420120716095
ES,0.749967098236084
SAY,0.00853956863284111
],0.0043785227462649345
Write,10.44902229309082
 a,1.5440659523010254
 report,8.454737663269043
 to,4.609583854675293
 your,2.5553174018859863
 supervisor,5.98062801361084
 discussing,10.01733684539795
 the,2.208986282348633
 key,9.848126411437988
 differences,4.770637512207031
 between,0.5357203483581543
 teaching,4.706251621246338
 in,5.8331780433654785
 two,4.522616386413574
 different,1.1414417028427124
 schools,6.363173484802246
 that,6.0932793617248535
 you,2.7690136432647705
 have,4.2917561531066895
 observed,7.921394348144531
 over,5.138880252838135
 the,0.5654962062835693
 last,2.855504274368286
 4,5.307960510253906
 weeks,8.924275398254395
.[,8.447226524353027
/,1.7022701501846313
ES,0.0048772357404232025
SAY,0.00011798492050729692
],0.01278222817927599
"
",0.7885716557502747
Report,14.82230281829834
 on,3.742706298828125
 Teaching,4.532966613769531
 at,7.509185314178467
 Two,4.866724491119385
 Different,1.4148942232131958
 Schools,0.49893486499786377
.,1.9155067205429077
doc,0.2594287693500519
x,0.0034705675207078457
"
",0.21903729438781738
[,0.19320014119148254
QUEST,15.26079273223877
ION,0.40374356508255005
],0.6315269470214844
Discuss,11.338605880737305
 how,4.156779766082764
 pupils,15.058012008666992
�,22.305246353149414
�,12.115530967712402
 social,12.18233871459961
 development,6.6032562255859375
 and,1.8480703830718994
 learning,3.7411131858825684
 is,7.176487922668457
 supported,11.857062339782715
 when,6.691154479980469
 they,2.1869232654571533
 are,1.5712138414382935
 taught,2.918562173843384
 using,8.439424514770508
 a,3.1160902976989746
 variety,6.939667224884033
 of,0.0033178317826241255
 media,7.637557506561279
 e,13.974947929382324
.,0.6849748492240906
g,0.003380837617442012
.,0.29126518964767456
 I,11.905722618103027
CT,4.357590198516846
",",1.3868107795715332
 film,7.0330047607421875
 clips,6.69037389755249
",",0.8164147138595581
 music,5.226071357727051
",",1.6625968217849731
 role,12.913959503173828
 play,3.1415867805480957
",",1.1325353384017944
 drama,6.4789252281188965
.[,4.876245021820068
/,0.029443280771374702
QUEST,0.02666540816426277
ION,0.014508675783872604
],0.006875455379486084
"
",0.7136539220809937
"
",11.715375900268555
I,8.42243766784668
 am,4.330421447753906
 looking,4.796782970428467
 for,0.5888403654098511
 a,2.541262149810791
 script,10.034647941589355
 that,2.8620002269744873
 can,3.9999709129333496
 tell,6.426947116851807
 me,4.557100296020508
 how,2.6847074031829834
 many,5.6760406494140625
 tokens,16.378849029541016
 (,6.072229862213135
and,6.855414390563965
 thus,7.299305438995361
 time,6.718228340148926
),1.2400344610214233
 were,6.9171833992004395
 used,3.09476637840271
 up,8.425436019897461
 by,3.814579963684082
 the,2.4543404579162598
 last,7.3401570320129395
 request,15.199889183044434
.,2.4846768379211426
 I,3.4587974548339844
 know,5.9965925216674805
 about,7.407358646392822
 the,2.6359353065490723
" """,7.289868354797363
get,10.370282173156738
-,4.772261619567871
content,12.414754867553711
"""",1.0231465101242065
 command,8.457818031311035
",",3.1516435146331787
 but,0.9064454436302185
 it,3.9297945499420166
 does,4.3269219398498535
 not,0.23435726761817932
 work,2.651292324066162
 properly,6.499914169311523
 in,2.693324327468872
 this,3.441774606704712
 scenario,3.892247438430786
.,0.5711622834205627
 It,5.658509254455566
 just,7.8543548583984375
 returns,7.459793567657471
 what,8.545336723327637
 was,3.1284289360046387
 left,4.742600440979004
 when,5.997963905334473
 the,1.707337737083435
 page,7.2552995681762695
 loaded,8.525249481201172
 or,6.822659015655518
 did,6.806075572967529
 not,0.11180125176906586
 load,1.4265241622924805
.,1.062045931816101
 The,4.940010070800781
 token,10.962815284729004
 is,3.9257938861846924
 reset,8.652216911315918
 to,2.488445520401001
 0,2.638202428817749
.,2.5335240364074707
"
",3.6521284580230713
Does,21.630971908569336
 anyone,3.2515833377838135
 have,1.4012138843536377
 a,1.8221492767333984
 script,2.8570024967193604
 for,3.603203773498535
 this,1.2752777338027954
?,1.245768427848816
 Or,7.655799865722656
 do,3.6571760177612305
 you,0.45097941160202026
 think,3.6772029399871826
 there,4.059681415557861
 is,1.4616743326187134
 no,5.2151570320129395
 such,5.127315998077393
 thing,0.9983426928520203
 (,9.241680145263672
and,3.778639554977417
 that,4.4942827224731445
 I,5.634786128997803
 should,2.9775943756103516
 use,3.66398286819458
 a,3.771472454071045
 different,1.9145547151565552
 technique,5.93865966796875
)?,1.4859132766723633
"
",2.2634530067443848
I,4.666444778442383
 tried,8.524508476257324
 the,3.922800064086914
 following,3.0752615928649902
 (,5.960546493530273
in,5.279209136962891
 PowerShell,12.58899974822998
"),",6.274937152862549
 but,1.8029204607009888
 it,2.0163791179656982
 doesn,3.900273323059082
't,0.009207084774971008
 work,0.3106817901134491
 either,7.324840068817139
:,1.7432596683502197
"
",0.6668373942375183
$,2.911693572998047
req,14.159998893737793
 =,0.9367696642875671
 Inv,9.644340515136719
oke,0.03360113501548767
-,0.03486456349492073
Rest,10.6583251953125
Method,1.2947267293930054
 -,1.1319011449813843
U,8.303192138671875
