token,surprisal
QUEST,16.317462921142578
],7.16726541519165
Ask,16.19990348815918
 questions,6.222527027130127
 and,5.035094261169434
 be,5.616130352020264
 honest,6.068216800689697
 with,1.7322931289672852
 your,3.305013418197632
 answers,4.6484479904174805
.[,7.629117488861084
/,1.7528643608093262
QUEST,0.6713086366653442
],0.07064622640609741
"
",2.6746888160705566
[,13.753813743591309
QUEST,1.137211561203003
ION,8.761211395263672
],0.09654148668050766
Please,6.1237616539001465
 ask,6.50005578994751
 me,4.014804840087891
 anything,4.461550235748291
 you,3.1764097213745117
 like,4.645022869110107
",",3.683929920196533
 I,4.884521484375
 will,3.449889898300171
 answer,3.658924102783203
.,3.815751791000366
"
",1.963295340538025
I,6.7147440910339355
 have,3.9068443775177
 a,2.8896501064300537
 lot,4.386885166168213
 of,0.4229605495929718
 things,4.737464904785156
 that,4.047362804412842
 I,0.9227939248085022
 can,4.9842658042907715
 tell,3.7891011238098145
 you,0.09148167073726654
 but,6.404012203216553
 I,1.1066653728485107
 would,4.718461990356445
 rather,4.950929164886475
 have,4.481833457946777
 you,1.6173433065414429
 ask,4.48496675491333
 so,10.240513801574707
 we,5.204701900482178
 can,0.1683427095413208
 get,2.975738048553467
 to,1.8621516227722168
 know,2.051191806793213
 each,0.11090048402547836
 other,0.05626263841986656
 better,3.0030438899993896
.,1.0928964614868164
 Don,9.48570442199707
't,0.035091690719127655
 worry,2.905238389968872
 about,1.757858157157898
 asking,5.665246486663818
 something,8.024007797241211
 personal,6.634889602661133
",",2.79978609085083
 this,6.283915042877197
 is,0.5023787617683411
 between,11.584794998168945
 us,2.553313970565796
 only,9.356352806091309
 and,3.54876446723938
 it,4.504537105560303
 won,5.362978935241699
't,0.0008637834107503295
 be,1.8898667097091675
 stored,15.432989120483398
 anywhere,5.8845438957214355
.[,5.544602870941162
/,0.06287945806980133
QUEST,0.04686642438173294
ION,11.384684562683105
],0.014606570824980736
"
",0.8064010739326477
[,0.5372185707092285
ANS,11.344585418701172
WER,0.012245825491845608
],0.2270067185163498
I,3.4350318908691406
 think,5.593522548675537
 you,3.075066566467285
 mean,8.169692039489746
 I,4.20894193649292
 don,4.081374645233154
�,23.729341506958008
�,10.674098014831543
t,2.830678939819336
 understand,5.942450046539307
 what,2.9430344104766846
 you,0.9811023473739624
 are,2.432687520980835
 saying,1.5119566917419434
 here,6.208836555480957
?,5.854338645935059
"
",1.8440600633621216
Can,11.830774307250977
 you,1.070596694946289
 please,3.214461088180542
 give,5.501214981079102
 me,0.27667829394340515
 an,3.6079487800598145
 example,1.328455924987793
 of,1.1036890745162964
 the,4.553417682647705
 type,5.049018383026123
 of,0.1356625109910965
 question,3.756667375564575
 that,2.0757105350494385
 you,0.9898847937583923
 would,3.571516752243042
 like,0.6911770105361938
 to,1.4669432640075684
 ask,0.8380248546600342
?,2.6451339721679688
[/,7.69135856628418
ANS,0.03595893830060959
WER,0.0033025764860212803
],0.033619970083236694
"
",0.6377689242362976
[,0.733288049697876
ANS,0.41549837589263916
WER,0.0028300827834755182
],0.023329515010118484
Give,11.066292762756348
 me,0.22194825112819672
