token,surprisal
"
",3.205098867416382
Ping,19.08830451965332
-,5.907258033752441
p,3.7376625537872314
ong,8.427396096521989e-05
 club,13.327486038208008
's,6.235260486602783
 tables,13.31461238861084
 stolen,14.143131256103516
 by,3.1996169090270996
 thieves,4.447783470153809
"
",1.735220193862915
The,6.714897632598877
 thieves,6.842706203460693
 struck,10.195152282714844
 at,2.1970770359039307
 the,1.8896678686141968
 Ping,7.085305213928223
 P,3.700608253479004
ong,0.003074884647503495
 Club,1.9069411754608154
",",3.483485221862793
 on,6.6093573570251465
 London,9.05700969696045
 Road,5.965310096740723
" ,",9.621922492980957
 at,5.704726696014404
 around,1.945310115814209
 2,3.7640469074249268
.,1.2714439630508423
30,1.0612058639526367
am,1.9967756271362305
 yesterday,4.082107067108154
 when,5.623051166534424
 they,1.2237679958343506
 cut,8.536883354187012
 through,3.450834035873413
 the,1.1472245454788208
 roof,6.4518046379089355
 with,5.919375419616699
 power,12.664603233337402
 tools,3.0693395137786865
 and,2.020552396774292
 drove,7.851816177368164
 off,2.3330190181732178
 in,3.7889933586120605
 a,0.6526864171028137
 silver,4.457250595092773
 Seat,16.71706199645996
 Leon,12.662978172302246
.,2.2427780628204346
 The,2.8515422344207764
 tablets,16.825035095214844
 are,5.274426460266113
 valued,6.035228252410889
 at,0.09897229075431824
 £,1.646536111831665
...,17.26274871826172
"
",1.0480012893676758
Sir,10.427817344665527
 Ian,4.778196334838867
 Blair,7.724637508392334
 ',6.911666393280029
in,7.7778000831604
comp,6.887357234954834
et,0.03425252437591553
ent,0.029173167422413826
',0.6022427082061768
 in,2.9420595169067383
 Met,12.416428565979004
 Police,1.0499578714370728
 role,10.145639419555664
 -,6.932412147521973
 Lord,9.70647144317627
 Te,7.809449195861816
b,2.2605090141296387
bit,0.3724149167537689
"
",1.8374547958374023
In,5.313782215118408
 his,3.8449149131774902
 evidence,9.27290153503418
 to,3.105806350708008
 the,0.4510585367679596
 Le,10.079596519470215
ves,0.5254648327827454
on,0.00015823270950932056
 inquiry,2.0525498390197754
",",0.6727238297462463
 former,5.899782180786133
 chief,5.255790710449219
 whip,7.632965564727783
 Michael,9.053263664245605
 G,3.13789439201355
ove,0.03922346234321594
 said,1.320812702178955
 he,3.28570294380188
 was,1.7791500091552734
" """,1.8041086196899414
deep,6.886163711547852
ly,0.003106252755969763
 concerned,2.4528205394744873
"""",0.40221917629241943
 about,2.456488609313965
 Sir,4.772464752197266
 Ian,0.25297844409942627
 Blair,2.0368916988372803
's,0.3650233745574951
 conduct,5.147539138793945
 during,3.784895420074463
 the,0.8628115057945251
 shooting,14.107627868652344
 of,1.923020839691162
 Jean,12.196056365966797
 Charles,9.81612777709961
 de,5.009385585784912
 M,6.559768199920654
enez,1.7977374792099
es,0.04503004252910614
.,3.008516788482666
 The,3.582407236099243
 witness,11.1469087600708
 says,7.626325607299805
 that,2.5535242557525635
...,4.63567590713501
"
",0.30150261521339417
Baby,12.97083854675293
 born,8.038270950317383
 with,3.4454469680786133
 half,9.987870216369629
 a,2.450061559677124
 heart,3.6560757160186768
 def,11.152244567871094
ies,9.235876083374023
 doctors,5.00653600692749
 in,5.810938358306885
 survival,13.429167747497559
 battle,8.95057487487793
"
",2.1752185821533203
The,3.2368812561035156
 baby,3.198803186416626
 is,4.855214595794678
 believed,3.932887315750122
 to,0.029088493436574936
 be,1.411576509475708
 the,3.3738183975219727
 first,1.8726078271865845
 known,6.931290626525879
 child,3.0628905296325684
 to,2.320535898208618
 have,2.4162378311157227
 been,2.002502918243408
 cured,12.474712371826172
 after,4.368603706359863
 being,1.870363712310791
 given,3.962455987930298
 only,9.10327434539795
 weeks,9.144526481628418
 to,1.1468713283538818
 live,0.15517845749855042
 by,5.5364837646484375
 experts,9.282327651977539
.,2.576392650604248
 A,4.438418865203857
 baby,5.468565940856934
 boy,4.979661464691162
 has,3.957216501235962
 defied,6.875655651092529
 odds,9.232425689697266
 and,2.5050570964813232
 survived,1.347387433052063
 despite,6.034848213195801
 being,2.1854162216186523
 born,2.0045838356018066
 with,0.4056551158428192
 half,1.3711018562316895
 of,7.859022617340088
 his,3.7209925651550293
 heart,0.6091034412384033
....,10.690179824829102
