token,surprisal
 of,5.7609758377075195
 self,10.496963500976562
-,0.4456592798233032
righteous,6.021716594696045
ness,0.4015388786792755
 and,2.6568310260772705
 self,2.7432451248168945
-,0.03701232373714447
ag,6.961151599884033
grand,0.006989251356571913
iz,0.1988898515701294
ement,0.0006305401911959052
",",2.4514472484588623
 I,5.838680744171143
 ask,8.078213691711426
 myself,3.2348175048828125
.,5.300257682800293
 I,4.433006763458252
 mean,8.493694305419922
",",0.39766642451286316
 really,7.086822509765625
",",1.118955135345459
 do,5.395765781402588
 you,0.9918764233589172
 guys,7.876368045806885
 have,4.037285804748535
 any,1.5691900253295898
 idea,1.5747530460357666
 what,0.9067952632904053
 the,3.894413471221924
 real,5.483194828033447
 world,4.27262020111084
 is,0.7092054486274719
 like,0.5125729441642761
 out,9.342036247253418
 there,0.5267335772514343
?,0.5513107180595398
 Is,6.096011161804199
 this,3.9400949478149414
 some,5.882334232330322
 kind,1.3838216066360474
 of,0.005802394822239876
 Starship,15.737203598022461
 Tro,0.14073660969734192
opers,0.008971191011369228
 clone,6.264042854309082
 war,8.76278018951416
 where,5.642239093780518
 we,4.219781398773193
're,1.9377756118774414
 all,1.853481411933899
 fighting,4.660881042480469
 for,3.501093864440918
 the,2.326709508895874
 honor,9.548866271972656
 of,0.2504984736442566
 our,3.4984130859375
 respective,9.212692260742188
 space,8.587014198303223
 empires,5.8078837394714355
?,0.8686960935592651
 Is,4.545760631561279
 there,4.752788543701172
 a,2.176239490509033
 prize,11.252799034118652
 at,5.785804271697998
 the,1.9557737112045288
 end,0.43295493721961975
 of,0.49066171050071716
 all,5.3255438804626465
 this,0.6493375301361084
 for,6.744231224060059
 the,3.286787986755371
 last,8.823403358459473
 man,4.927089214324951
 standing,2.751107931137085
 or,7.8172197341918945
 something,3.9226651191711426
?,0.509138822555542
 ,12.699527740478516
"

",12.824037551879883
 What,23.106531143188477
 about,4.176574230194092
 you,4.980266571044922
",",3.309553384780884
 my,6.308844566345215
 dear,3.456455945968628
 reader,3.5257139205932617
",",1.8557257652282715
 do,2.849236488342285
 you,0.042594049125909805
 really,4.489506244659424
 believe,3.316412925720215
 that,0.9323307871818542
 trash,15.749547004699707
 talking,4.641748905181885
 is,1.8531371355056763
 anything,7.065191745758057
 more,2.355226516723633
 than,0.20901541411876678
 a,1.2726293802261353
